,movieId,title,rating,rating,score
,,,mean,count,
315,318,"Shawshank Redemption, The (1994)",4.446990499637029,63366,4.4398558217139765
843,858,"Godfather, The (1972)",4.364732196832306,41355,4.3545141390623945
49,50,"Usual Suspects, The (1995)",4.334372207803259,47006,4.32559541546378
523,527,Schindler's List (1993),4.310175010988133,50054,4.3020951212904945
1195,1221,"Godfather: Part II, The (1974)",4.275640557704942,27398,4.26139324225205
887,904,Rear Window (1954),4.271333600779414,17449,4.249204501997241
895,912,Casablanca (1942),4.258326830670664,24349,4.24256303353071
1935,2019,Seven Samurai (Shichinin no samurai) (1954),4.2741796572216,11611,4.241163679270795
1169,1193,One Flew Over the Cuckoo's Nest (1975),4.24807897901911,29932,4.235338995740832
737,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.247286821705426,23220,4.230929903803823
